attempt_id,student_id,quiz_id,score,attempt_date
131,261,17,44.0,2025-02-18
132,264,5,77.0,2025-04-27
133,264,6,84.0,2025-04-27
134,267,23,97.0,2025-04-16
135,267,24,78.0,2025-04-16
136,269,3,38.0,2026-04-24
137,272,15,51.0,2025-05-05
138,273,3,48.0,2026-03-05
139,273,17,60.0,2026-03-10
140,274,21,53.0,2025-08-22
141,275,1,35.0,2024-11-06
142,279,1,41.0,2024-09-27
143,281,1,50.0,2024-12-07
144,286,1,52.0,2025-06-06
145,287,15,75.0,2026-02-27
146,287,16,85.0,2026-02-27
147,290,7,38.0,2024-08-01
148,290,19,56.0,2024-09-03
149,290,1,89.0,2024-09-29
150,290,2,99.0,2024-09-29
151,291,11,73.0,2025-09-01
152,291,12,72.0,2025-09-01
153,292,11,84.0,2025-12-30
154,292,12,90.0,2025-12-30
155,292,19,43.0,2025-10-30
156,292,3,95.0,2025-12-04
157,292,4,75.0,2025-12-04
158,294,1,57.0,2025-07-05
159,295,5,45.0,2026-01-17
160,302,7,39.0,2024-02-14
161,304,19,86.0,2024-10-04
162,304,20,75.0,2024-10-04
163,304,1,94.0,2024-10-09
164,304,2,86.0,2024-10-09
165,309,7,64.0,2024-01-10
166,310,19,54.0,2024-06-20
167,310,23,83.0,2024-08-07
168,310,24,96.0,2024-08-07
169,311,1,56.0,2026-04-10
170,311,5,50.0,2026-04-23
171,312,9,87.0,2024-04-29
172,312,10,78.0,2024-04-29
173,313,11,40.0,2025-10-28
174,317,3,81.0,2024-04-09
175,317,4,90.0,2024-04-09
176,317,17,40.0,2024-03-10
177,320,11,54.0,2024-02-25
178,322,7,77.0,2024-06-14
179,322,8,100.0,2024-06-14
180,323,15,44.0,2025-11-03
181,324,7,83.0,2025-04-21
182,324,8,78.0,2025-04-21
183,327,7,46.0,2024-05-08
184,328,23,48.0,2025-01-19
185,330,1,42.0,2024-09-09
186,332,9,63.0,2026-01-18
187,333,5,58.0,2024-04-12
188,336,17,36.0,2025-05-21
189,336,7,59.0,2025-05-21
190,346,11,62.0,2025-12-22
191,347,13,44.0,2025-02-18
192,347,5,91.0,2025-04-05
193,347,6,76.0,2025-04-05
194,348,19,51.0,2024-10-17
195,351,21,73.0,2024-12-23
196,351,22,100.0,2024-12-23
197,355,9,63.0,2026-03-11
198,355,19,42.0,2026-02-15
199,357,21,49.0,2025-06-10
200,358,3,94.0,2025-07-29
201,358,4,73.0,2025-07-29
202,364,23,60.0,2024-03-19
203,365,21,44.0,2025-01-31
204,367,21,95.0,2026-06-17
205,367,22,78.0,2026-06-17
206,371,7,40.0,2024-08-04
207,373,7,53.0,2025-03-04
208,375,11,82.0,2026-07-04
209,375,12,87.0,2026-07-04
210,376,11,42.0,2024-03-05
211,377,23,88.0,2025-05-08
212,377,24,80.0,2025-05-08
213,379,11,93.0,2024-04-09
214,379,12,100.0,2024-04-09
215,379,19,90.0,2024-04-12
216,379,20,73.0,2024-04-12
217,380,13,55.0,2025-04-26
218,383,1,46.0,2025-05-28
219,383,19,42.0,2025-05-19
220,384,7,45.0,2025-06-05
221,388,9,40.0,2026-05-10
222,391,3,59.0,2026-04-27
223,394,11,82.0,2024-03-17
224,394,12,81.0,2024-03-17
225,395,9,91.0,2025-03-16
226,395,10,82.0,2025-03-16
227,397,21,58.0,2026-02-23
228,397,19,84.0,2026-02-16
229,397,20,92.0,2026-02-16
230,400,5,43.0,2024-12-02
231,405,23,86.0,2025-07-28
232,405,24,76.0,2025-07-28
233,407,5,55.0,2024-10-08
234,407,1,97.0,2024-10-07
235,407,2,87.0,2024-10-07
236,407,19,86.0,2024-10-19
237,407,20,73.0,2024-10-19
238,408,15,43.0,2025-08-25
239,410,7,53.0,2024-04-25
240,415,9,48.0,2025-11-02
241,419,9,65.0,2025-11-17
242,420,17,76.0,2024-02-15
243,420,18,76.0,2024-02-15
244,424,19,56.0,2024-02-10
245,426,21,82.0,2024-11-22
246,426,22,76.0,2024-11-22
247,426,1,77.0,2024-12-08
248,426,2,95.0,2024-12-08
249,426,19,72.0,2024-12-20
250,426,20,90.0,2024-12-20
251,429,13,96.0,2025-12-26
252,429,14,81.0,2025-12-26
253,430,1,74.0,2024-09-09
254,430,2,93.0,2024-09-09
255,430,21,60.0,2024-09-12
256,431,1,35.0,2025-08-13
257,433,5,52.0,2024-11-29
258,434,17,64.0,2025-03-12
259,435,1,54.0,2025-08-24
260,436,5,94.0,2025-09-29
261,436,6,79.0,2025-09-29
262,437,9,89.0,2025-11-20
263,437,10,97.0,2025-11-20
264,439,5,58.0,2024-11-01
265,442,3,58.0,2025-04-28
266,447,5,37.0,2024-09-30
267,448,1,85.0,2025-02-05
268,448,2,76.0,2025-02-05
269,449,7,98.0,2024-12-24
270,449,8,85.0,2024-12-24
271,451,21,86.0,2026-01-31
272,451,22,97.0,2026-01-31
273,461,11,63.0,2026-01-19
274,462,23,53.0,2024-10-06
275,463,11,56.0,2024-02-15
276,464,21,36.0,2024-10-22
277,466,7,42.0,2026-01-16
278,469,19,56.0,2024-11-02
279,470,17,36.0,2024-04-15
280,472,21,85.0,2026-01-13
281,472,22,72.0,2026-01-13
282,477,13,75.0,2025-05-03
283,477,14,90.0,2025-05-03
284,478,7,47.0,2024-11-11
285,479,19,80.0,2026-02-01
286,479,20,92.0,2026-02-01
287,480,7,57.0,2024-12-14
288,482,1,64.0,2024-10-17
289,485,7,38.0,2024-07-02
290,487,23,76.0,2025-04-21
291,487,24,100.0,2025-04-21
292,487,11,48.0,2025-04-25
293,488,5,35.0,2024-12-28
294,491,19,52.0,2024-02-24
295,493,9,84.0,2025-04-30
296,493,10,76.0,2025-04-30
297,493,17,93.0,2025-04-13
298,493,18,88.0,2025-04-13
299,497,11,48.0,2025-02-01
300,502,11,78.0,2026-03-27
301,502,12,80.0,2026-03-27
302,503,21,50.0,2024-10-03
303,504,23,81.0,2024-08-29
304,504,24,82.0,2024-08-29
305,505,13,47.0,2025-05-20
306,505,21,50.0,2025-07-01
307,507,7,53.0,2024-11-22
308,509,7,54.0,2025-01-15
309,514,19,96.0,2025-12-06
310,514,20,95.0,2025-12-06
311,515,19,43.0,2024-05-23
312,521,19,77.0,2024-11-09
313,521,20,79.0,2024-11-09
314,522,23,59.0,2025-06-04
315,522,15,45.0,2025-05-18
316,523,7,59.0,2024-06-02
317,525,5,56.0,2025-01-22
318,526,1,54.0,2024-08-12
319,526,23,52.0,2024-08-07
320,528,13,100.0,2026-06-08
321,528,14,94.0,2026-06-08
322,532,23,46.0,2025-10-31
323,533,7,58.0,2024-11-28
324,540,9,92.0,2025-04-13
325,540,10,96.0,2025-04-13
326,540,13,63.0,2025-04-05
327,543,9,48.0,2025-05-24
328,545,7,41.0,2025-03-22
329,546,3,40.0,2024-12-09
330,548,7,58.0,2024-04-26
331,549,5,44.0,2024-11-06
332,553,13,93.0,2025-05-26
333,553,14,87.0,2025-05-26
334,558,15,46.0,2025-10-07
335,561,9,47.0,2025-07-15
336,562,7,45.0,2026-01-28
337,565,19,37.0,2025-04-19
338,567,17,37.0,2025-03-12
339,569,19,90.0,2025-03-24
340,569,20,82.0,2025-03-24
341,570,3,73.0,2025-09-08
342,570,4,75.0,2025-09-08
343,572,21,74.0,2024-05-24
344,572,22,80.0,2024-05-24
345,573,9,38.0,2024-02-07
346,574,17,35.0,2025-11-28
347,574,5,58.0,2025-11-08
348,575,7,35.0,2025-05-10
349,586,19,80.0,2024-09-11
350,586,20,90.0,2024-09-11
351,588,11,55.0,2025-01-26
352,588,1,52.0,2025-03-06
353,589,9,47.0,2025-10-18
354,589,23,59.0,2025-10-29
355,590,21,76.0,2024-12-03
356,590,22,96.0,2024-12-03
357,592,5,62.0,2024-12-29
358,593,21,64.0,2024-09-30
359,596,23,51.0,2026-03-19
360,598,17,76.0,2026-04-30
361,598,18,84.0,2026-04-30
362,598,7,43.0,2026-01-27
363,599,1,77.0,2024-04-29
364,599,2,82.0,2024-04-29
365,600,23,61.0,2024-12-27
366,603,15,37.0,2024-04-21
367,604,23,77.0,2024-03-30
368,604,24,83.0,2024-03-30
369,606,5,42.0,2024-12-31
370,609,9,93.0,2025-06-23
371,609,10,85.0,2025-06-23
372,611,7,57.0,2025-06-18
373,611,23,55.0,2025-07-19
374,613,21,63.0,2024-11-09
375,613,5,36.0,2024-11-25
376,614,7,60.0,2024-08-07
377,615,23,93.0,2025-12-22
378,615,24,99.0,2025-12-22
379,618,7,64.0,2024-04-17
380,624,5,61.0,2025-08-03
381,627,1,64.0,2024-11-15
382,632,1,72.0,2025-04-14
383,632,2,92.0,2025-04-14
384,634,23,77.0,2025-12-12
385,634,24,89.0,2025-12-12
386,636,19,74.0,2025-05-05
387,636,20,73.0,2025-05-05
388,639,17,72.0,2025-11-14
389,639,18,99.0,2025-11-14
390,647,17,52.0,2024-04-01
391,650,7,89.0,2024-05-30
392,650,8,82.0,2024-05-30
393,651,19,41.0,2025-05-02
394,655,5,61.0,2024-03-07
395,659,19,59.0,2024-07-24
396,659,23,51.0,2024-07-26
397,660,7,75.0,2025-10-09
398,660,8,90.0,2025-10-09
399,660,9,50.0,2025-09-07
400,663,7,90.0,2024-08-31
401,663,8,91.0,2024-08-31
402,664,7,46.0,2024-04-25
403,669,11,50.0,2024-02-16
404,674,15,51.0,2026-03-04
405,675,7,53.0,2024-07-06
406,679,17,86.0,2025-02-18
407,679,18,88.0,2025-02-18
408,682,5,82.0,2025-10-08
409,682,6,72.0,2025-10-08
410,683,9,45.0,2024-03-22
411,685,5,57.0,2025-11-12
412,685,3,49.0,2025-12-14
413,689,11,84.0,2025-05-25
414,689,12,78.0,2025-05-25
415,690,7,61.0,2024-08-02
416,692,7,44.0,2024-11-10
417,694,5,57.0,2026-05-04
418,695,15,99.0,2025-05-04
419,695,16,78.0,2025-05-04
420,696,1,74.0,2024-05-19
421,696,2,75.0,2024-05-19
422,697,3,58.0,2025-04-30
423,700,21,45.0,2025-12-27
424,703,3,50.0,2025-12-02
425,704,21,41.0,2025-09-21
426,704,5,52.0,2025-08-30
427,706,9,79.0,2025-12-07
428,706,10,90.0,2025-12-07
429,708,19,82.0,2024-07-26
430,708,20,78.0,2024-07-26
431,714,5,56.0,2026-02-22
432,717,5,38.0,2024-11-03
433,718,7,93.0,2024-07-26
434,718,8,98.0,2024-07-26
435,718,19,76.0,2024-06-24
436,718,20,81.0,2024-06-24
437,719,7,50.0,2025-05-09
438,720,5,57.0,2025-10-07
439,726,5,36.0,2026-01-13
440,726,3,51.0,2025-12-08
441,729,1,35.0,2025-02-23
442,731,7,38.0,2025-01-30
443,733,11,52.0,2025-11-07
444,734,11,86.0,2025-12-25
445,734,12,92.0,2025-12-25
446,736,5,60.0,2025-03-26
447,741,15,52.0,2026-02-22
448,747,13,47.0,2025-07-24
449,748,7,76.0,2024-10-07
450,748,8,80.0,2024-10-07
451,753,5,43.0,2024-10-10
452,759,13,65.0,2026-01-26
453,760,3,74.0,2024-04-07
454,760,4,97.0,2024-04-07
455,760,23,53.0,2024-02-08
456,762,7,64.0,2025-07-18
457,765,21,96.0,2026-01-29
458,765,22,99.0,2026-01-29
459,765,19,35.0,2025-12-27
460,766,19,55.0,2024-02-29
461,767,21,64.0,2026-01-31
462,769,15,48.0,2026-02-21
463,771,19,65.0,2026-02-20
464,775,21,40.0,2026-05-09
465,780,7,60.0,2024-12-15
466,782,3,39.0,2025-04-02
467,786,7,98.0,2025-01-14
468,786,8,91.0,2025-01-14
469,787,23,53.0,2025-03-13
470,789,7,38.0,2024-02-25
471,792,21,62.0,2024-10-27
472,792,7,41.0,2024-11-16
473,794,13,77.0,2025-08-13
474,794,14,87.0,2025-08-13
475,799,21,46.0,2025-06-27
476,803,15,83.0,2025-08-02
477,803,16,90.0,2025-08-02
478,803,19,50.0,2025-06-06
479,808,9,51.0,2025-10-09
480,813,19,61.0,2024-09-21
481,814,1,40.0,2025-07-04
482,815,3,47.0,2025-04-29
483,816,17,58.0,2025-11-16
484,817,1,88.0,2026-01-02
485,817,2,93.0,2026-01-02
486,827,5,100.0,2025-09-20
487,827,6,97.0,2025-09-20
488,831,15,76.0,2025-11-08
489,831,16,93.0,2025-11-08
490,831,9,85.0,2025-10-16
491,831,10,83.0,2025-10-16
492,833,21,57.0,2025-01-12
493,835,21,54.0,2025-03-31
494,836,11,59.0,2025-01-17
495,840,1,37.0,2024-01-24
496,843,11,56.0,2025-03-23
497,844,1,77.0,2024-05-18
498,844,2,81.0,2024-05-18
499,856,7,55.0,2024-07-19
500,858,15,65.0,2025-01-29
501,860,5,59.0,2026-03-12
502,864,7,35.0,2024-06-05
503,871,17,58.0,2025-10-24
504,873,1,44.0,2025-11-06
505,875,7,98.0,2025-05-14
506,875,8,87.0,2025-05-14
507,878,3,55.0,2026-03-06
508,881,23,46.0,2025-01-05
509,882,15,58.0,2025-06-09
510,883,7,60.0,2025-02-20
511,884,3,64.0,2026-03-26
512,884,17,64.0,2026-03-17
513,888,19,56.0,2024-08-24
514,889,21,57.0,2024-12-10
515,890,7,50.0,2024-04-25
516,897,19,35.0,2026-04-23
517,900,3,81.0,2024-03-07
518,900,4,89.0,2024-03-07
519,911,7,64.0,2026-04-05
520,912,21,46.0,2024-02-17
521,914,19,61.0,2026-03-25
522,917,21,49.0,2024-10-20
523,919,7,37.0,2024-05-28
524,920,17,45.0,2025-07-03
525,920,19,47.0,2025-07-28
526,920,7,40.0,2025-06-16
527,921,21,62.0,2025-02-02
528,922,5,85.0,2026-01-07
529,922,6,84.0,2026-01-07
530,925,21,59.0,2025-02-16
531,928,19,40.0,2025-10-27
532,929,17,39.0,2026-01-06
533,934,7,50.0,2024-05-25
534,937,7,39.0,2024-09-21
535,939,9,54.0,2026-03-04
536,939,1,49.0,2026-03-31
537,941,7,46.0,2024-12-12
538,942,21,50.0,2025-04-03
539,944,5,62.0,2026-03-09
540,946,17,57.0,2025-07-24
541,948,11,79.0,2026-02-03
542,948,12,99.0,2026-02-03
543,948,1,37.0,2025-11-26
544,951,19,63.0,2025-07-21
545,953,19,43.0,2025-06-21
546,961,1,44.0,2024-04-07
547,967,13,50.0,2024-02-15
548,973,1,76.0,2025-07-02
549,973,2,76.0,2025-07-02
550,976,19,53.0,2024-08-17
551,980,7,62.0,2025-09-18
552,981,15,43.0,2026-04-07
553,981,7,88.0,2026-06-06
554,981,8,75.0,2026-06-06
555,983,19,55.0,2025-11-11
556,984,5,96.0,2025-02-03
557,984,6,75.0,2025-02-03
558,990,9,92.0,2025-07-22
559,990,10,72.0,2025-07-22
560,991,11,38.0,2025-03-24
561,991,1,58.0,2025-04-24
562,991,19,39.0,2025-04-02
563,994,21,55.0,2025-05-05
564,995,21,39.0,2025-09-01
565,997,11,47.0,2025-12-05
566,999,11,58.0,2024-04-29
567,1003,23,55.0,2024-07-23
568,1005,1,80.0,2025-08-02
569,1005,2,79.0,2025-08-02
570,1005,11,92.0,2025-08-20
571,1005,12,96.0,2025-08-20
572,1006,17,100.0,2025-08-10
573,1006,18,89.0,2025-08-10
574,1006,11,82.0,2025-08-12
575,1006,12,99.0,2025-08-12
576,1010,21,46.0,2024-11-20
577,1011,17,49.0,2025-09-16
578,1012,5,88.0,2024-03-30
579,1012,6,76.0,2024-03-30
580,1015,19,49.0,2024-07-05
581,1016,17,78.0,2025-10-19
582,1016,18,77.0,2025-10-19
583,1017,21,41.0,2024-09-12
584,1018,17,82.0,2026-01-26
585,1018,18,86.0,2026-01-26
586,1020,3,36.0,2025-02-18
587,1020,21,52.0,2025-02-12
588,1022,19,82.0,2024-10-07
589,1022,20,97.0,2024-10-07
590,1022,1,49.0,2024-08-06
591,1029,17,46.0,2025-01-08
592,1034,19,53.0,2025-11-05
593,1037,19,88.0,2025-02-11
594,1037,20,87.0,2025-02-11
595,1038,9,99.0,2025-06-18
596,1038,10,80.0,2025-06-18
597,1042,7,79.0,2024-07-03
598,1042,8,94.0,2024-07-03
599,1044,13,35.0,2026-04-26
600,1046,15,43.0,2025-05-05
601,1047,7,55.0,2025-04-18
602,1051,23,50.0,2024-10-03
603,1052,19,47.0,2025-11-27
604,1054,7,90.0,2024-07-08
605,1054,8,89.0,2024-07-08
606,1055,1,64.0,2024-09-24
607,1057,21,96.0,2026-02-16
608,1057,22,77.0,2026-02-16
609,1059,9,58.0,2025-06-20
610,1060,23,42.0,2024-10-06
611,1061,15,53.0,2024-03-02
612,1062,7,79.0,2024-05-22
613,1062,8,98.0,2024-05-22
614,1068,23,82.0,2024-08-03
615,1068,24,89.0,2024-08-03
616,1073,13,55.0,2025-07-18
617,1075,21,93.0,2026-04-08
618,1075,22,93.0,2026-04-08
619,1076,21,86.0,2025-09-24
620,1076,22,85.0,2025-09-24
621,1083,13,36.0,2025-09-28
622,1084,3,52.0,2025-09-29
623,1087,7,92.0,2024-11-04
624,1087,8,73.0,2024-11-04
625,1088,19,72.0,2024-07-28
626,1088,20,87.0,2024-07-28
627,1093,19,41.0,2025-01-02
628,1096,9,39.0,2025-03-11
629,1096,5,81.0,2025-03-28
630,1096,6,90.0,2025-03-28
631,1098,19,76.0,2024-08-30
632,1098,20,88.0,2024-08-30
633,1101,21,79.0,2026-02-22
634,1101,22,100.0,2026-02-22
635,1105,23,85.0,2025-11-07
636,1105,24,74.0,2025-11-07
637,1107,11,89.0,2025-05-09
638,1107,12,76.0,2025-05-09
639,1109,21,35.0,2025-11-01
640,1111,7,54.0,2024-11-11
641,1111,5,63.0,2024-11-14
642,1112,15,41.0,2024-01-24
643,1112,9,38.0,2024-01-22
644,1113,1,57.0,2025-04-24
645,1113,5,49.0,2025-05-04
646,1115,15,60.0,2025-10-31
647,1118,19,77.0,2024-10-08
648,1118,20,82.0,2024-10-08
649,1122,13,93.0,2024-04-17
650,1122,14,90.0,2024-04-17
651,1124,17,55.0,2026-01-27
652,1124,3,98.0,2026-03-01
653,1124,4,83.0,2026-03-01
654,1125,11,39.0,2024-03-24
655,1126,23,91.0,2025-06-01
656,1126,24,76.0,2025-06-01
657,1130,1,77.0,2025-06-16
658,1130,2,84.0,2025-06-16
659,1133,19,35.0,2025-07-29
660,1134,17,56.0,2024-03-08
661,1136,7,74.0,2024-11-23
662,1136,8,91.0,2024-11-23
663,1138,11,63.0,2025-06-26
664,1139,23,47.0,2024-06-30
665,1145,3,51.0,2025-09-30
666,1147,23,57.0,2024-07-23
667,1148,3,40.0,2025-08-16
668,1152,21,91.0,2026-03-24
669,1152,22,98.0,2026-03-24
670,1153,13,80.0,2025-05-15
671,1153,14,95.0,2025-05-15
672,1159,19,77.0,2024-08-02
673,1159,20,91.0,2024-08-02
674,1160,9,94.0,2025-11-08
675,1160,10,76.0,2025-11-08
676,1162,17,35.0,2025-01-29
677,1162,23,56.0,2025-01-30
678,1166,5,76.0,2025-07-04
679,1166,6,90.0,2025-07-04
680,1167,15,55.0,2025-12-25
681,1168,15,41.0,2026-03-02
682,1171,15,52.0,2025-06-13
683,1171,11,55.0,2025-06-06
684,1177,23,49.0,2024-07-23
685,1179,19,88.0,2026-03-22
686,1179,20,90.0,2026-03-22
687,1180,1,92.0,2025-12-11
688,1180,2,90.0,2025-12-11
689,1181,13,50.0,2025-07-11
690,1183,7,76.0,2025-06-12
691,1183,8,84.0,2025-06-12
692,1186,23,52.0,2024-06-08
693,1192,7,39.0,2024-04-26
694,1193,3,42.0,2025-04-10
695,1204,19,36.0,2024-05-26
696,1206,13,56.0,2024-02-15
697,1207,23,53.0,2025-09-03
698,1215,15,53.0,2025-05-12
699,1218,11,60.0,2024-02-15
700,1220,11,42.0,2024-03-24
701,1222,7,89.0,2024-11-22
702,1222,8,82.0,2024-11-22
703,1224,3,36.0,2026-01-13
704,1225,19,51.0,2026-03-24
705,1226,3,82.0,2025-09-05
706,1226,4,76.0,2025-09-05
707,1230,19,52.0,2025-12-13
708,1234,23,93.0,2024-11-07
709,1234,24,83.0,2024-11-07
710,1234,1,37.0,2024-09-07
711,1235,7,35.0,2024-12-22
712,1239,19,44.0,2024-07-22
713,1240,19,37.0,2024-05-31
714,1243,3,50.0,2026-03-08
715,1244,23,95.0,2026-04-11
716,1244,24,81.0,2026-04-11
717,1245,11,54.0,2025-05-15
718,1245,1,60.0,2025-05-24
719,1247,19,63.0,2024-11-14
720,1248,7,60.0,2024-06-04
721,1248,19,54.0,2024-06-09
722,1249,3,51.0,2026-04-24
723,1251,11,96.0,2025-06-17
724,1251,12,79.0,2025-06-17
725,1251,7,60.0,2025-05-14
726,1256,19,39.0,2024-11-16
727,1259,11,40.0,2026-03-24
728,1261,17,43.0,2025-03-23
729,1265,7,94.0,2025-12-25
730,1265,8,76.0,2025-12-25
731,1266,23,92.0,2024-09-22
732,1266,24,81.0,2024-09-22
733,1268,1,46.0,2025-12-12
734,1272,15,85.0,2024-04-22
735,1272,16,74.0,2024-04-22
736,1275,9,93.0,2025-03-26
737,1275,10,88.0,2025-03-26
738,1275,1,45.0,2025-03-10
739,1275,13,59.0,2025-03-04
740,1277,9,44.0,2026-03-15
741,1278,5,51.0,2025-05-24
742,1279,11,58.0,2024-03-25
743,1282,19,50.0,2024-12-30
744,1283,7,35.0,2025-03-12
745,1286,5,59.0,2025-09-30
746,1288,9,61.0,2025-07-17
747,1289,15,36.0,2025-05-16
748,1293,9,43.0,2025-06-13
749,1298,13,45.0,2026-03-14
750,1298,3,36.0,2026-02-24
751,1300,1,84.0,2024-12-31
752,1300,2,76.0,2024-12-31
753,1303,11,91.0,2026-01-10
754,1303,12,85.0,2026-01-10
755,1303,3,44.0,2026-01-04
756,1305,7,57.0,2024-05-21
757,1308,13,36.0,2025-11-18
758,1309,11,98.0,2026-02-06
759,1309,12,95.0,2026-02-06
760,1310,19,60.0,2026-04-30
761,1311,13,53.0,2025-10-31
762,1312,23,50.0,2024-08-08
763,1314,13,79.0,2025-03-20
764,1314,14,80.0,2025-03-20
765,1317,23,65.0,2024-09-24
766,1323,13,37.0,2025-08-16
767,1325,23,78.0,2024-09-14
768,1325,24,94.0,2024-09-14
769,1332,11,61.0,2025-11-30
770,1332,1,36.0,2025-12-09
771,1338,19,46.0,2024-03-25
772,1338,15,87.0,2024-05-27
773,1338,16,96.0,2024-05-27
774,1340,17,56.0,2025-08-01
775,1341,21,77.0,2026-03-13
776,1341,22,97.0,2026-03-13
777,1347,19,94.0,2025-11-19
778,1347,20,96.0,2025-11-19
779,1349,5,62.0,2025-09-20
780,1350,11,74.0,2024-04-04
781,1350,12,95.0,2024-04-04
782,1352,19,37.0,2024-12-15
783,1357,5,61.0,2025-08-02
784,1360,15,58.0,2025-07-20
785,1365,7,59.0,2024-05-19
786,1368,15,54.0,2025-12-23
787,1368,3,62.0,2025-11-17
788,1373,7,39.0,2024-08-26
789,1375,15,35.0,2025-01-04
790,1375,11,41.0,2025-01-12
791,1377,3,63.0,2025-04-05
792,1381,1,41.0,2024-09-12
793,1385,15,48.0,2025-10-31
794,1386,19,54.0,2024-10-26
795,1387,11,46.0,2026-02-04
796,1387,15,55.0,2026-02-03
797,1396,1,48.0,2024-12-20
798,1403,1,55.0,2024-08-05
799,1403,19,40.0,2024-09-02
800,1407,3,61.0,2025-11-02
801,1408,23,57.0,2025-08-03
802,1410,15,44.0,2025-02-02
803,1411,1,93.0,2025-08-06
804,1411,2,84.0,2025-08-06
805,1413,5,63.0,2024-12-25
806,1413,1,62.0,2024-11-26
